Epoch,AverageEpRet,MaxEpRet,MinEpRet,AverageEpCost1,MaxEpCost1,MinEpCost1,AverageEpCost2,MaxEpCost2,MinEpCost2,CumulativeCost1,CumulativeCost2,CostRate1,CostRate2,AverageLossPi,StdLossPi,MaxLossPi,MinLossPi,AverageLossQR1,StdLossQR1,MaxLossQR1,MinLossQR1,AverageLossQC1,StdLossQC1,MaxLossQC1,MinLossQC1,AverageLossQC2,StdLossQC2,MaxLossQC2,MinLossQC2,AveragePiEntropy,StdPiEntropy,MaxPiEntropy,MinPiEntropy,TotalTime
55,-144621900,-63293205.06,-608106490.5,131194,157586.2047,12238.81152,638.49963,638.49963,638.49963,500992,1380231.6,8946.285714,24646.9933,38876270,2152786.8,49679110,35564708,1.01994E+12,1.19712E+12,6.68719E+12,2.08437E+11,2392.7883,3151.7847,21428.504,340.00302,250631.27,191285.02,1513998.2,43932.74,-124.60785,4.2724805,-114.62373,-136.495,624.505235
56,-158028240,-60819251.4,-620267615.4,80488.46,106802.8522,7508.598651,3016.2388,3016.2388,3016.2388,506797,1383247.8,8891.175439,24267.50439,43057980,12543197,158917180,34714572,1.06932E+12,1.35448E+12,9.34718E+12,2.15131E+11,2180.124,2061.57,16138.188,442.9377,1445663.5,2365252,16130834,71921.945,-238.80768,102.93511,-121.34407,-533.51935,635.9957085
57,-156937920,-60725269.64,-616854762,506159.56,532396.388,47218.55766,0,0,0,512618,1383247.8,8838.241379,23849.09914,42195104,6016454,80600590,35893184,1.20505E+12,1.53453E+12,1.10736E+13,1.72811E+11,2499.3267,2423.5903,15214.567,378.41672,909823.1,1617609.4,14154317,41362.367,-132.04013,16.396456,-99.58418,-177.5316,647.4232621
58,-159281520,-60886376.86,-617144821.6,462421.53,488581.0412,43138.3291,0,0,0,518536,1383247.8,8788.745763,23444.87712,42065484,5430901,63981628,36510864,1.14591E+12,1.6684E+12,1.06041E+13,2.17049E+11,2192.031,2252.9407,15189.864,339.68628,681601.2,1274611.6,8865320,57119.11,-122.14642,10.40899,-94.318184,-156.28557,659.0680895
59,-149066460,-61367748.63,-603944311.9,461495.03,487577.4709,43051.89787,0,0,0,523694,1383247.8,8728.233333,23054.12917,41445760,3872438,57696052,36479284,8.96219E+11,1.07802E+12,6.86017E+12,1.81705E+11,1978.35,2066.4202,14208.592,253.65495,454497.6,618171.56,3846248,48453.047,-120.97684,10.430293,-96.214134,-148.626,670.8882685
60,-146900690,-57167195.95,-599408532.1,224666.05,250671.6666,20958.62189,68.22869,68.22869,68.22869,528568,1383316,8665.04918,22677.31148,40373250,3812725.2,65878844,35740744,1.07797E+12,1.7511E+12,1.18848E+13,2.23492E+11,2041.8203,2513.495,15923.299,394.0233,451942.2,752349.44,5878262,47306.42,-116.76773,9.70407,-92.98607,-146.03342,682.7694328
61,-140645620,-57011367.87,-590487378,174602.42,200531.4573,16288.29146,846.8035,846.8035,846.8035,532719,1384162.9,8592.241935,22325.20766,39417504,2434073,51004344,35806830,1.03129E+12,1.57267E+12,1.0057E+13,2.13213E+11,1705.2987,1619.4805,13755.279,386.9478,305797.16,440995.94,3469365.5,59185.016,-109.38561,8.1715765,-90.890854,-131.26434,694.7192259
62,-177602510,-55804469.09,-628033799.9,156358.22,182210.9222,14586.32852,6219.064,6219.064,6219.064,539883,1390381.9,8569.571429,22069.55357,38949988,2385185,54461580,35722910,1.2237E+12,1.8253E+12,1.05572E+13,2.09757E+11,1828.7568,1851.0383,13360.996,279.29642,424597,699495.9,5692241,59601.46,-109.44832,8.620674,-90.70253,-134.90846,705.9584336
63,-151018200,-57857734.18,-597278729.5,491493.28,517269.8907,45850.37134,3678.0166,3678.0166,3678.0166,544860,1394059.9,8513.4375,21782.18555,38291000,1675227.5,45073420,35066388,1.37079E+12,2.15005E+12,1.08629E+13,1.92746E+11,1665.5922,1513.935,11337.066,337.1117,365621.72,571342.94,3932096.5,55373.066,-115.92607,7.114766,-94.60609,-134.90979,717.8246915
64,-181947300,-58419355.49,-628366440.2,66922.42,92623.18182,6243.051396,6908.7266,6908.7266,6908.7266,552451,1400968.6,8499.246154,21553.36346,38028796,1611057.8,52203240,34895012,1.12393E+12,1.83055E+12,1.54914E+13,2.49071E+11,1626.4955,1430.82,10869.185,286.51233,372185.53,395021.12,2662650.2,73254.445,-120.45863,5.6420546,-105.10863,-134.34592,729.8474016
65,-176705330,-57763855.86,-620577841.9,3287.7757,28912.93062,306.7096598,12374.408,12374.408,12374.408,559210,1413343,8472.878788,21414.28788,37459852,1874664,46139520,34344740,1.18664E+12,1.62623E+12,8.50403E+12,2.23971E+11,1579.1506,1414.9191,10430.55,453.33914,381552.56,402000.8,2241773.8,70760.26,-115.26272,5.8244705,-102.074326,-132.01047,741.2464859
66,-164520130,-58152058.81,-605335373.7,7534.614,33084.4032,702.8882466,4668.2754,4668.2754,4668.2754,565261,1418011.4,8436.731343,21164.34888,36986530,1922225.4,46704890,34288564,9.38165E+11,1.1964E+12,1.03757E+13,2.16431E+11,1316.6082,855.69586,5464.7383,260.6394,414332.25,408210.03,2323608.5,62094.742,-116.2336,5.014856,-101.97536,-132.6406,752.7794979
67,-144075230,-58607082.22,-581223661.6,3388.93791,28863.60178,316.146869,0,0,0,569648,1418011.4,8377.176471,20853.10846,36513870,2412373.2,50324028,33088086,1.00941E+12,1.4793E+12,1.0992E+13,2.27039E+11,1162.5604,744.64185,4712.5933,327.65054,481926.16,472836.78,2802044,76192.18,-106.87109,4.6607046,-97.322525,-118.78319,764.0659633
